name,description,difficulty,type,image_url,muscles_stretched,muscles_strengthened,muscle_action,prerequisites,tags,url
Prone Strap-Assisted Shoulder External Rotation,"Range of Motion Worked: Shoulder external rotattion This stretch uses a strap looped around our ankle to help pull is into shoulder external rotation for a passive shoulder stretch. Because our leg muscles are often stronger than our shoulder muscles (at least in the range of motion we’re working in here), it’s especially important to be gentle and not to push to the point of feeling any pain in the shoulder! You’ll need some kind of a long strap for this exercise - it can be stretchy or stiff . Loop a long strap around your right ankle (you may have to tie it around the ankle if it keeps slipping). Bend the right knee, kicking your heel toward your butt. Lie down on your stomach and prop yourself up on your elbows to lift your chest. Place a yoga block set to the side of your right shoulder (the taller the block and the higher you lift your chest, the easier this drill will be). Grabbing the strap with your right hand, open your right arm out to the side in a “robot arm” position (elbow bent 90 degrees) with your elbow resting on the yoga block, fist holding the strap near the front of your mat. Make sure the right elbow is in line with your right shoulder (so if your chest is lower to the ground, you may choose to make the block lower). Keeping your elbow in line with your shoulder (keeping it on the block), gently push your right ankle into the strap, allowing this push to help rotate your right arm up-and-back, pulling your hand up away from the floor (or if you have more shoulder mobility, up towards the ceiling). Double check your elbow is still in line with your shoulder, and your elbow is bent 90 degrees. Hold this passive stretch for 15-30 seconds. Start on the tallest height setting of the yoga block , with your chest lifted, and just aim to barely pull the hand away from the floor. Lose the block . Start with your chest on the floor, elbow on the floor right to the outside of your shoulder.",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebd47bb35d294b043a294b/1676901374574/Prone+Strap-Assisted+Shoulder+External+Rotation.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,Passive Shoulder Stretch - External Rotation,https://www.daniwinksflexibility.com/flexopedia/prone-strap-assisted-shoulder-external-rotation
Puppy Pose,"* While this isn’t a completely “passive” stretch because we are actively trying to maintain shoulder external rotation, it’s not a significant strengthener so I’m considering it “passive” for classification purposes Puppy pose is a classic shoulder and upper back stretch - I probably do variations of puppy pose literally every time I work on back or shoulder flexibility. It’s also a pose that can be easily scaled up or down, depending on students’ flexibility level. If you’ve hated puppy pose in the past because you have tight shoulders, elevating your hands on yoga blocks or a chair can make a world of a difference! Start kneeling on all fours. Keeping your butt stacked on top of your knees, walk your hands forwards, keeping your arms straight, as you drop your chest towards the floor. Before you get to your end range, wrap your shoulder blades towards the side of your rubs by reaching the outside of your armpits down towards the floor - we want there to be plenty of space between our shoulder blades as we reach our chest down (don’t let the shoulders relax completely and smoosh the shoulder blades towards your spine). Hold for 10-30 seconds. Note: watch out for any “pinching” in the top of the shoulders, or any tingling in your fingers - those are both signs that your shoulders aren’t aligned in a very sustainable position, and you’re impinging bone or a nerve (ouch!). Don’t try to push through this discomfort, come out of the pose, and try to come back in an easier variation. Elevate your hands on yoga blocks, or a low table/chair. This will let you keep more weight in your hips/knees and take some of the pressure out of your shoulders/chest. Elevate your hands (wait, didn’t you just say that makes this easier?!) - if you can already sink super low in your puppy pose on the floor, elevating your hands will move the floor farther away, allowing you to get a deeper shoulder and upper back stretch Bend your elbows and hold a yoga block between your hands , holding ",All Levels,Passive* Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebfbc77adef81d4dbf5f3a/1680962916976/Puppy+Pose.png?format=1500w,"Shoulder, Back",n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion; Spinal extension; Shoulder retraction,none,"Passive Shoulder Stretch - External Rotation, Passive Shoulder Stretch - Flexion, Passive Back Stretch - Spinal Extension",https://www.daniwinksflexibility.com/flexopedia/puppy-pose
Puppy Pose Active Press,"Here’s a slightly more challenging version of the traditional puppy pose that works to actively strengthen our shoulders while they’re in an end-range stretch. This is great for students working on their overhead shoulder flexibility for things like bridges and handstands. Get into your puppy pose : from kneeling on all fours, walk both hands forwards, keeping arms straight and butt stacked on top of knees, relaxing your chest and armpits towards the floor. Wrap the outsides of your armpits towards the floor to help hug your shoulderblades towards the sides of your ribs (don’t let them squish together toward your spine). You should be feeling a stretch in any of the following: the outside of your armpits, your chest, between your shoulder blades. If you’re feeling “pinching” in the tops of your shoulders, or tingling in your fingers - try a smaller/lesser version of the stretch. Staying in your puppy pose stretch, start to press your hands down into the floor, engaging your upper arms, chest, and underside of your shoulders, as if you were going to push the floor away. But don’t push so hard that your chest lifts! Stay in the pose - only push enough to engage your muscles. We want this to be an isometric contraction, a contraction where the muscles’ lengths don’t change. Hold the active press for 10 seconds Relax your arms, and you may even sink a tiny bit deeper towards the floor. Feel free to repeat for another 1-2 reps. Elevate your hands on a chair, table, or yoga blocks . This helps take some of the weight out of your arms/shoulders and sink it into your knees on the floor. The higher you lift your hands, the easier this stretch can become. Elevate your hands on a chair, table, or yoga blocks . If you have enough flexibility to reach your chest to the floor in your puppy pose, elevating your hands will give you more space to stretch!",All Levels,Active Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebfc8ec0e2161f3e665988/1681307637146/Puppy+Pose+Active+Press.png?format=1500w,"Back, Shoulder",n/a,Spinal extension; Shoulder retraction; Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,"Passive Back Stretch - Spinal Extension, Active Shoulder Stretch - External Rotation, Active Shoulder Stretch - Flexion",https://www.daniwinksflexibility.com/flexopedia/puppy-pose-active-press
Pyramid Good Mornings,"This variation of the traditional bodyweight good mornings drill is a nice way to focus on one leg at a time. This can be especially useful if you have one hip that’s tighter than the other so you can give your “challenge” side some extra reps to help even them out. Start standing. Step one foot backwards about 2 feet to stagger your legs, and angle the back foot out to the side slightly for balance. Keep both hip bones pointing forwards. The front leg will be the leg we’re focusing on stretching. Keeping your back flat, hinge at the hips to initiate a forward fold. Focus on rotating the front of your hip bones towards the floor, lifting your sits bones and tailbone away from the ground - you should be feeling a stretch in the back of your front thigh (hamstrings). Don’t worry if you can’t lean far before you feel the stretch - as long as you’re feeling the hamstring stretch, you’ll be benefiting from this drill! Once you’ve leaned as far forwards as you can with a flat back (even if that’s not yet parallel to the floor), press into the front foot to engage your hamstrings as you lift your torso back on up to standing. Repeat for 8-12 reps. Bend your front knee a bit. As long as you’re still feeling a stretch in your hamstrings, a knee bend is A-OK Brace your hands against your front thigh for support. Reach your arms out to the side, or overhead - this will make the “lever arm” of your upper body feel heavier, so your hamstrings will have to work harder to lift the weight. Add weight. Hold weights in your hands, or a barbell on your back. For the purposes of flexibility training, pick a weight that still allows you to go through the same range of motion that you can as before you added weight.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/639005a10a18652eb53dbcac/1671124863491/high+pyramid+good+mornings+-+thumb.png?format=1500w,Hamstrings,n/a,Hip extension; Knee flexion,none,Active Hamstring Stretch - Hamstrings,https://www.daniwinksflexibility.com/flexopedia/pyramid-good-mornings
Quad-Focused Lunge Rocks,"* while this drill is technically not passive (it does require engagement to rock the hips forwards and backwards), we aren’t actively pushing into the end ranges in a real “strengthening” capacity Adding the foot-to-butt pull turns a classic kneeling lunge into a potentially intense quad stretch. Adding some gentle movement forwards and backwards not only teaches our nervous system that we have control in this deep stretch, it also varies the amount of stretch we’re getting in our rectus femoris (the long quad muscle that crosses the knee and hip joint). I like doing mobilization drills like these before I do longer static holds to ease my body into the more challenging range of motion. Start in a kneeling lunge with your hips square , and torso lifted. Grab your back ankle and pull your back heel towards your butt. Keeping your torso lifted and back foot pulled in towards your butt (we want to maintain the intensity of the quad stretch throughout), slowly rock your hips forwards and backwards. You should be feeling a stretch in the front of the back leg hip (hip flexors) and thigh (quads). Continue rocking your hips for 20-30 seconds. Don’t squeeze your foot in as much . The farther the foot is from your butt, the easier this stretch is for your quads. Place your back foot against the wall like as in the couch stretch . Then when you rock your hips, since your foot is anchored against the wall instead of moving with your hips, it will increase and decrease the intensity of the quad stretch. Make it active by kicking into a band or squeezing a yoga block to your butt .",Intermediate,“Passive” Dynamic*,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/638ffb48714d68113d43b258/1671143748946/Quad+Lugne+Rocks+-+Thumb.png?format=1500w,"Quads, Hip Flexors",n/a,Knee extension; Hip flexion,Can pull your foot close to your butt in a lunge with no knee discomfort,"Passive Hip Flexor Stretch, Passive Quad Stretch",https://www.daniwinksflexibility.com/flexopedia/quad-focused-lunge-rocks
Ragdoll Forward Fold,"As often as I cue students to “keep a flat back” in a forward fold, there can certainly be times when you want to round your back in this stretch. Rounding the back isn’t “wrong,” but it does change the mechanics of what’s being stretched, shifting the focus more towards spinal flexion (rounding of the back) and often de-emphasizing the hamstring stretch. Start standing with your feet hip width apart, knees slightly bent. Hinge at the hips to lean forwards, and relax your back, letting it round as you forward fold. Bend your knees generously so that this stretch feels comfortable on your hips and low back. Let your arms relax and dangle long (or you can cross your arms if you prefer). Relax your neck by letting your head hang heavy, looking through your legs as opposed to actively craning your neck to look at the floor. It can even fool good to add some gentle movement, like swaying side to side, or bending one knee a bit more, then the other. Feel free to play with it! Hold for 20-60 seconds. Bend your knees a LOT. Place your hands on your thighs for support. When we lean forwards, our hamstrings are getting stretched, but they’re technically also contracting a little to keep us from falling on our face. Bracing your hands against your thighs helps support the weight of your upper body, making it gentler on the hamstrings. Straighten your knees once you’ve come into your relaxed forward fold. They don’t even have to straighten all the way, even straightening them a bit will make the hamstring stretch more challenging Try a more active (weighted) variation like Jefferson Curls.",All Levels,Static Passive,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6388d63400947e6dae8b5799/1671065680592/Ragdoll+Forward+Fold+-+Thumb.png?format=1500w,Hamstrings,n/a,Hip extension; Knee flexion,none,"Passive Hamstring Stretch, Passive Back Stretch",https://www.daniwinksflexibility.com/flexopedia/ragdoll-forward-fold
Rear Hand Clasp,"A classic exercise to stretch shoulder extension (reaching the arms behind you). For students who cannot grasp their hands together, you can use a strap! Interlace your fingers behind your back, pulling your knuckles down towards the floor to straighten your arms. If you can’t straighten your arms, or it’s uncomfortable to clasp your hands, grab a towel or a strap with hands about hip-width apart (or wider, if needed). Pull your hands away from your butt - you should feel a stretch in the front of your shoulders. Hold this stretch for 15-30 seconds. Hold onto a strap instead of clasping your hands together. Lift and lower your arms for reps instead of holding the sustained stretch. When clasping the hands, bring your palms together to touch. Add a forward fold , reaching your hands towards the ceiling (or if you have a deep forward fold, overhead towards the floor). Add an additional active shoulder engagement . You could choose to activate the outside of your shoulders by acting as if you were going to pull your arms apart (while your hands are still clasped). Or you could activate the muscles between your shoulder blades to actively pull your arms closer together as you reach them away from your back.",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebfb7d35f27a5042ce162d/1678798048531/Rear+Hand+Clasp.png?format=1500w,"Shoulder, Chest",n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion; Shoulder horizontal adduction,none,"Passive Shoulder Stretch - Extension, Chest Stretch",https://www.daniwinksflexibility.com/flexopedia/rear-hand-clasp
Reclined Quad Stretch,"This is one of my go-to deep passive quad stretches because we get to use our bodyweight to relax into the stretch (don’t have to worry about using our arms to pull our heel in toward our butt). And depending on how far you lean back, you may even push your hips into extension, adding a passive hip flexor stretch as well. Start sitting in a hero pose either sitting on your heels, or sitting on a yoga block, whichever is more comfortable for your knees (technically the block may make this more of a hip flexor stretch, so you can play with both versions and see which feels like a better stretch to you). Extend one leg out forwards (just to get it out of the way, that way we can focus on stretching one quad at a time). Slowly start to lean backwards, leaning back on your hands, onto your elbows, or all the way to back on the floor if that feels comfortable. You should be feeling a deep stretch through the front of your thigh (quads), or if you’re leaning all the way back and have your butt on a yoga block, in the front of your hip as well (hip flexors). If you don’t feel much of a stretch, actively tuck your pelvis (lift your tailbone off the floor, trying to rotate your pelvis backwards) to deepen the stretch. Hold for 20-30 seconds. Keep the lean back small. Experiment with starting on a block or two, or no blocks . Keep both knees bent to stretch both quads at the same time. Make it active by pressing the bent knee’s foot into the ground (engaging your quads while they’re in a stretched position).",Intermediate,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6390b273531b5e0be636c9cd/1671151738431/reclined+quad+stretch+-+thumb.png?format=1500w,Quads,n/a,Knee extension; Hip flexion,Comfortable sitting in hero pose,Passive Quad Stretch,https://www.daniwinksflexibility.com/flexopedia/reclined-quad-stretch
Reverse Clamshells,"This variation of the Jane-Fonda-esque clamshell drill is a great strengthener for our hip internal rotation . Because it has a similar setup to the “traditional” clamshell exercise, I like to do these right after my regular clamshells. Start in your “open clamshell ” position: lying on your side, hip bones pointing forwards, feet on the floor, knees bent and open so your legs are opening like a clam. Keeping your top knee lifted (don’t let it drop!), lift the top foot towards the ceiling, rotating your top thigh towards the floor. Then drop the foot back down to meet the bottom foot on the floor. That’s one rep. Repeat for 8-12 reps (lifting and dropping the foot). Let the top knee drop down as you lift the foot. Add a resistance band around your thighs .",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/639bc0a46914303cf8147e79/1769348063226/reverse+clamshells+-+thumb.png?format=1500w,,Hip Internal Rotators,Hip flexion; Hip extension; Hip rotation,none,Active Hip Internal Rotation,https://www.daniwinksflexibility.com/flexopedia/reverse-clamshells
Reverse Tabletop,"While this is mainly a shoulder stretch for shoulder extension (being able to reach your arms backwards), it’s also a multi-tasking stretch for the wrists. Start sitting on the floor with knees bent. Place your palms on the floor behind your butt - I like doing this with fingertips pointing towards my feet, but you can experiment with other hand positions if that feels more comfortable on your wrists (ex. fingers pointing to the outside, or making a fist and pushing into your knuckles) Press into your hands and feet to lift your hips, aiming to bring your hips up to knee height (if they don’t lift that high, that’s OK!). You should feel a stretching sensation across the front of your shoulders (or possibly chest). Hold this stretch for 15-20 seconds. Don’t press the hips quite so high. Use parallelettes or make a fist (bracing yourself on your knuckles, with your wrist neutral instead of flexed) if doing this with palms on the floor is uncomfortable on your wrists. Add some movement! Once you’ve pressed up into your tabletop position, try making horizontal circles with your hips (keeping your hips the same height) as if you are now a wobbly Ikea table. This will shift the weight around your palms, which can be a nice wrist warm up.",All Levels,Active Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/641073f2e6e96b006d593b57/1680959086494/Reverse+Tabletop.png?format=1500w,"Chest, Shoulder",n/a,Shoulder horizontal adduction; Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,"Chest Stretch, Active Shoulder Stretch - Extension",https://www.daniwinksflexibility.com/flexopedia/reverse-tabletop
Robot Arms,"This is one of my go-to shoulder mobility warm ups that hits both internal and external shoulder rotation. Great to do before aerials, pole, rock climbing, or any kind of back/shoulder flexibility training. Standing or sitting, extend your arms out to the side in a “robot” position: elbows bent 90 degrees, elbows at shoulder height. Keeping your elbows in the same spot, rotate your biceps backwards as you try to reach your hands as far up-and-back behind you as you can. Make sure this movement is coming from your shoulder (rotating the upper arm), not just jerking your wrist backwards. Then still keeping those elbows up at shoulder height (they have a tendency to droop in this next part), rotate your biceps down towards the floor, trying to reach your hands as far down-and-back as you can. Depending on your flexibility, this might not be far beyond bringing your forearms parallel to the floor - that’s OK! Repeat, rotating your upper arm to reach your hands up-and-back then down-and-back for 8-12 reps. Do one arm at a time to make it easier to focus on maintaining good form. Alternate arms - try one arm going back, one arm going forwards, for a coordination challenge",All Levels,Active Dynamix,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebae719f837b496eb5704f/1676391830428/Robot+Arms.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,"Active Shoulder Stretch - External Rotation, Active Shoulder Stretch - Internal Rotation",https://www.daniwinksflexibility.com/flexopedia/robot-arms
Rounded Back Leg Extensions,"This is a great active drill to strengthen your glutes to support a deeper hip flexor stretch. By keeping your back rounded the whole time, you ensure you’re keeping your hips in a backward rotated-position (aka posterior pelvic tilt ) which gives us the most stretch through our hip flexors. Start kneeling on all fours, then drop down onto your elbows. Round your back by tucking your chin toward your chest, tucking your tailbone, and sucking your belly button in. Your challenge is going to be keeping your low back rounded throughout this exercise (it’s going to want to arch!). Extend one leg straight out behind you - this will be the working leg. Keeping your back rounded (belly lifted as high as you can), lift your straight leg away from the floor. This should feel like a squeeze in your glutes (and potentially in your hamstrings in the back of the thigh as well). Then slowly lower the leg back to the floor. Repeat for 8-12 leg lifts. Start with your bent knee kneeling on a block to give you more space to lift your straight leg. Add ankle weights. Add a resistance band between your lifting leg’s knee and the bottom leg’s shin.",All Levels,Dynamic Active,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63b45faf7a56ec3de1a3462b/1676840207887/Back+Rounded+Leg+Extensions+-+Thumb.png?format=1500w,"Hip Flexors, Back",n/a,Hip flexion; Spinal extension; Shoulder retraction,none,"Active Hip Flexor Stretch - Glutes, Back Stretch - Spinal Flexion",https://www.daniwinksflexibility.com/flexopedia/rounded-back-leg-extensions
Scapular Push Ups,"Scapular push ups are another common go-to shoulder warm up in my rotation. These are great for learning to find (and strengthen!) the muscles responsible with shoulder protraction (sliding the shoulder blades away from the slide, and forwards to wrap around the sides of the ribs). This is an important shoulder position to train because it’s the preferred shoulder blade position in many arms overhead positions (bridges, handstands, needle scales, etc), as well as close shoulder positions like contortion forearm stands and handstands. Start in a tabletop position (kneeling with hands under your shoulders). Keeping your spine neutral, push your hands into the floor hard, pushing your chest away from the floor. This will help slide the shoulders towards the sides of your ribs, as the back of your ribs reach towards the ceiling. You may even feel a stretch in the muscles between your shoulder blades. Relax your shoulders for a moment, letting the chest drop down towards the floor (but keep the arms straight!). You can drop the chest even further by squeezing the shoulder blades together toward your spine. Repeat, for 5-10 chest lifts and drops. Lessen the bodyweight challenge by working this same range of motion sitting or standing with Shoulder Protraction-Retraction Reaches Drop onto your elbows with forearms on the floor, fingertips touching, elbows shoulder-width apart, and do these shrugs in this forearm stand prep position",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6436b8be9b5bbc065a0da2eb/1695380423923/Scapular+Push+Ups.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,Shoulder Stretch - Miscellaneous,https://www.daniwinksflexibility.com/flexopedia/scapular-push-ups
Sciatic Nerve Glide,"This is not a stretch (nor should it feel like one!). BUT it can still help increase our hamstring and/or calf flexibility for students who have nerve tension in their sciatic nerve ( here’s how to test if that’s you). Normally our nerves are meant to slide back and forth through our soft tissue. Unlike our muscles, nerves aren’t meant to stretch. So if something prevents the nerve some sliding, it is instead tugged into tension, which it resists by contracting our muscles in the stretch reflex to protect itself. For more information, check out this blog post . Nerve mobilizations like this nerve glide can help make sure our nerve is moving appropriately before we “challenge” our legs with deeper stretches. Obligatory disclaimer: Nerve mobilizations should be gentle! More is not better! Don’t do more than 10-20 of these per leg, per day. Increasing the volume, or pushing the intensity can injure your nerves. If you have a condition that affects your nerves (ex. herniated disc, sciatica), consult your healthcare provider before adding nerve mobilizations to your training. Start lying on your back with both knees bent. Bring your hands to the back of your right thigh for support. Keeping your tight ankle pointed, start to lift the right foot up towards the ceiling (as if you were going to kick your leg straight), but only lift the leg until you feel the beginning of a stretching sensation (or any tingling in your foot or discomfort in your back) - as soon as you feel the onset of a stretch, that’s going to be your stopping point (remember, the goal of this drill isn’t to deeply stretch our legs, it’s to help our nerves slide and glide!). Flex the foot and bend the knee as you lower it to the floor. Repeat, pointing the toes as you lift the foot (only lifting as high as you can without feeling a stretching sensation ), then flex the foot as you lower. Repeat for 10 reps total, then switch legs.",All Levels,Nerve Mobilization,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6390c21a8ece811bd63f3e26/1671160743301/Sciatic+Nerve+Glide+-+Thumb.png?format=1500w,"n/a * I’ve categorized this under “hamstrings” and “calves” because it can help with hamstring and calf flexibility, but it’s not actually a muscle stretch",n/a,Hip extension; Knee flexion,none,Active Hamstring Stretch - Quads,https://www.daniwinksflexibility.com/flexopedia/sciatic-nerve-glide
Seated Hip External Rotation with a Band,"Using a resistance band is a great way to strengthen our hip rotators, like in this external rotation drill. I like pairing this drill with a seated hip internal rotation banded exercise as well to ensure we’re evenly strengthening both ranges of motion. Take a mini band (or tie a knot to make a small loop in a longer resistance band) and place it around the leg of a chair. Sitting in the chair, loop the band between your ankle (the one that’s on the same side of the chair as the band) and the leg of the chair. Scoot over to the far side of the chair so there is tension between the band and your ankle, and the band is tugging on the inside of your ankle trying to pull your foot to the outside. You can open your other leg out to the side so it’s out of the way of the working leg. Push the inside of the banded ankle into the strap, pushing against the resistance of the band, trying to lift the foot across your midline as you rotate your thigh to the outside. Be careful to keep your thigh on the chair, don’t let the leg lift as you try to lift your foot! Then relax the leg and bring your foot back to the floor (thigh back toward the ceiling). That’s one rep. Repeat for 8-12 reps. Lose the band. Do this same exercise without the resistance of the band. Use a higher resistance band.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6397b38db502ff481fce6f5c/1671319448774/seated+banded+external+hip+rotation+-+thumb.png?format=1500w,,Hip External Rotators,Hip flexion; Hip extension; Hip rotation,none,Active Hip External Rotation,https://www.daniwinksflexibility.com/flexopedia/seated-hip-external-rotation-with-a-band
Seated Twist,"Ranges of Motion Trained: Spinal rotation (twisting) By sitting and “anchoring” our hips on the floor (or on a block or on a chair), we prevent our hips from twisting and ensure this twist comes from our thoracic spine (upper back) and not our pelvis. Start in a comfortable seated position where you can sit up with a tall spine - this could be sitting cross-legged on the floor, kneeling, sitting on some yoga blocks, or even sitting in a chair. Whatever feels best for your hips and your back! Place your hands behind your head, opening your elbows wide. Twist your chest over to one side (make sure this twist is coming from your chest and you’re not just pulling your elbows around…), hold for a moment, then twist over to the other side. If you’d like to incorporate breath, I like to inhale when coming back to the center (thinking about sitting up super tall), and exhale when twisting over to one side). Repeat for 8-10 twists to each side. Keep your twists a bit smaller. Cross your arms in front of your chest. Stand up instead of sitting. Be sure to engage your glutes to prevent your hips from twisting - keep your hip bones pointing forwards!",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6436b6c2e6124a4b570de977/1681483845491/Seated+Twist.png?format=1500w,Back,n/a,Spinal extension; Shoulder retraction,none,Active Back Stretch - Spinal Rotation,https://www.daniwinksflexibility.com/flexopedia/seated-twist
Seated Wall Straddle Pancake,"I particularly like this variation on the “traditional” straddle pancake because it makes it incredibly hard to “cheat” the stretch by rounding your back. It can easily be modified for less-flexy students by elevating the hips (sitting on yoga blocks, or even a chair), and for more-flexy students by starting with blocks between feet and the wall to allow more room to lean forwards. Start in a seated straddle, with legs spread wide, feet pressing into the wall. I like to start in a “comfortable” straddle, meaning one where you aren’t feeling a stretch in your back, hamstrings, or inner thighs to start with. Depending on your flexibility, you may choose to sit (in order of increasing difficulty): On a chair, with feet straddled out to the side (don’t worry if your legs don’t open very wide) With hips on a yoga block or two, legs straddled into the wall Butt on the floor, but with knees slightly bent Butt on the floor, legs straight Straddle on the floor, with legs wide, blocks between your feet and the wall Reach your hands up the wall overhead. With your hands on the wall, lean forward trying to reach your chest to the wall. This may be more challenging than when you do a straddle pancake on the floor because the wall will block you from leaning too much with your upper body and rounding your back! Hold this passive stretch for 20-60 seconds. Elevate your hips . Stting in a chair is A-OK if you’ve got tight hips! Start with the chair scooted close enough to the wall that you can splay your legs out in a straddle and rest your feet against the wall Bend your knees slightly. Place yoga blocks between your feet and the wall. Add a backbend & shoulder stretch by arching your back as you reach your chest towards the wall, belly towards the floor.",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6391163da58b465eb8711b13/1671334723609/Seated+Wall+Straddle+Pancake.png?format=1500w,"Hamstrings, Adductors",n/a,Hip extension; Knee flexion; Hip adduction,none,"Passive Adductor Stretch, Passive Hamstring Stretch",https://www.daniwinksflexibility.com/flexopedia/seated-wall-straddle-pancake
Serving Cookies,"Range of Motion Strengthened: Shoulder external rotation This is one of the drills that stuck with me from Dr. Susan Haven’s contortion anatomy workshop (if you ever get the opportunity to take it - highly recommend!). Plus it has such a fun name, how can you resist using this to strengthen your rotator cuff??? Bend your right elbow and pull it against your side body, letting your right palm face up in front of you as if you were holding a plate of cookies. Keep your elbow pulled in toward your ribs/waist/hip (where it lands will depend on your body proportions) for this whole exercise, don’t let it float away! Keeping your right elbow squeezing in toward your side, and keeping your right forearm parallel to the floor, reach your right hand off to the side as far as you can (as if you were going to serve your imaginary platter of cookies to someone sitting next to you). Don’t let the right elbow come away from your side! Bring the right palm back to the front. That’s one rep. Repeat for 8-12 reps. Make sure the movement is coming from your shoulder (not twisting your torso to the side with the arm) Keep the right shoulder low, don’t let it shrug up Make sure the elbow doesn’t leave your side body. A sneaky trick is to place something small like a towel or a resistance band between your elbow and your side body and to keep pinching it in with your elbow as you rotate your arm - if you drop your prop then you know that elbow is sneaky away!",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebfb0d7641375da8c2edb8/1678109823540/Serving+Cookies.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,Active Shoulder Stretch - External Rotation,https://www.daniwinksflexibility.com/flexopedia/serving-cookies
Shoulder Flossing,"Range of Motion Worked: Shoulder circumduction This is one of my go-to exercises as part of my shoulder warm up any time I’m working on backbends. I have a strong preference to do this with a stretchy strap vs. a “stick” like I’ve also seen it done before because it’s more comfortable and easier not to “cheat” by moving the arms at different speeds. Side note: this exercise has nothing to do with nerve flossing (despite the “flossing” in the title). I’ve also heard it called “shoulder dislocates” but that’s a crappy name because you’re not dislocating your shoulder (nor would I encourage students to aim to do so!) Note: you’ll need some kind of a long band/strap for this exercise. It’s a bit more comfortable with a stretchy strap (like a TheraBand), but a stiff strap like yoga strap or a scarf works fine too. Start holding on to a long strap, with your hands very far apart. Keeping your arms straight and shoulders down (don’t let them shrug up towards your ears), lift the strap up overhead and bring it behind you to your butt. Make sure both shoulders rotate at the same time (avoid letting one arm go before the other). If you find yourself bending your elbows or moving your arms at different speeds, that means you need to take your hands farther apart. Ideally you should feel a stretching sensation across the front of your chest and/or shoulder as you bring the strap behind you. Then reach the strap up over your head and bring it back to the front to finish. That’s one rep. Repeat for 4-10 reps. Widen your hands - take your hands way farther apart on your strap. Narrow your hands - take them closer together on the strap.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63f2a8c5f2c62a3fadb6e395/1677022694089/Shoulder+Flossing.png?format=1500w,"Shoulder, Chest",n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion; Shoulder horizontal adduction,none,"Shoulder Stretch - Circumduction, Chest Stretch",https://www.daniwinksflexibility.com/flexopedia/shoulder-flossing
